,Unnamed: 0,code,filename,causal_event,sentence_nb,causal_type,avg_strength,agreement_score,text,batch_code,label
0,0.0,POS,AmongtheFarmyardPeop.txt,Squab who can get a Swallow to tell him stories of the great world_happy is the Squab,1,IRAC,3.0,1,"There was never a Dove who would be a Swallow if he could , yet the plump , quiet , gray and white Doves dearly love the dashing Swallows , and happy is the Squab who can get a Swallow to tell him stories of the great world .",test1,1.0
3,4.0,POS,BehrensPeterLawofDreamsPW.txt,His mother caught him looking at her_sensed his anger and confusion ,2,IRAC,3.0,1,His mother caught him looking at her and must have sensed his anger and confusion .,test1,1.0
7,8.0,POS,CassKieraTheEliteYA.txt,when I looked at him … I was his_Aspen was my first love,2,IRAC,2.0,1,Aspen was my first love ; when I looked at him … I was his .,test1,1.0
10,13.0,POS,EverettPercivalPercivalEverettPW.txt,I want to start taking pictures he said _ so I bought him a camera ,2,IRAC,2.0,1,"You see I have this one finger that works , a shutter finger , and so I want a camera , he said to me ._I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1,1.0
13,17.0,POS,McGinnisMindyTheFemaleoftheSpeciesYA.txt,the new calculator plant_The town planners got a little overexcited ,2,IRAC,2.0,1,The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community .,test1,1.0
20,27.0,POS,SelfWillUmbrellaPW.txt,Had suspended herself from the completely reliable pipe_and so in death she was wedged in the awkward gap between it and a white-painted window,1,IRAC,3.0,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
21,28.0,POS,SelfWillUmbrellaPW.txt,cubicle was partitioned into existence_she was wedged in the awkward gap between it and a white-painted window,1,IRAC,2.0,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
22,29.0,POS,SelfWillUmbrellaPW.txt,the hospital altered its own cellular structure_white-painted window that had been halved lengthwise,1,IRAC,2.0,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1,1.0
24,31.0,POS,SelfWillUmbrellaPW.txt,had suspended herself from the completely reliable pipe_in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence,2,IRAC,2.0,1,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie .",test1,1.0
26,35.0,POS,TheRockyIslandandOt.txt,dreary-looking island at the first view_I thought that no one could dwell in it ,1,IRAC,3.0,1,"It was a sad , dreary-looking island at the first view , and I thought that no one could dwell in it ; but as I looked closer at its shores , I saw that they were covered with children at play .",test1,1.0
