,code,causal_event,causal_type,avg_strength,sentence_nb,text,causal_,caused_
0,1,Squab who can get a Swallow to tell him stories of the great world_happy is the Squab,IRAC,3,1,"There was never a Dove who would be a Swallow if he could , yet the plump , quiet , gray and white Doves dearly love the dashing Swallows , and happy is the Squab who can get a Swallow to tell him stories of the great world  . ",Squab who can get a Swallow to tell him stories of the great world,happy is the Squab
1,1,""" Is n't it good to be home , home , home ! """""""" sang one Swallow ._"""""""" I never set my claws on another ridge-pole as comfortable as this . """"""""",IREC,3,2_3,""""""""" Is n't it good to be home , home , home ! """""""" sang one Swallow  . _"""""""" I never set my claws on another ridge-pole as comfortable as this  .  """"""""",""" Is n't it good to be home , home , home ! """""""" sang one Swallow .",""""""""" I never set my claws on another ridge-pole as comfortable as this . """""""""
2,1,Baby threw his apple overboard_Pa told him to bring a dezzen oranges ,IREC,2,1_2,"Pa told him to bring a dezzen oranges , if they war n't too high ! """""""" shouted Sol and Seth , running to the door , while the girls smacked their lips at the thought of this rare treat , and Baby threw his apple overboard , as if getting ready for a new cargo  . _But all were doomed to disappointment , for it was not Gad , with the much-desired fruit  . ",Baby threw his apple overboard,Pa told him to bring a dezzen oranges 
3,1,His mother caught him looking at her_sensed his anger and confusion ,IRAC,3,2,His mother caught him looking at her and must have sensed his anger and confusion  . ,His mother caught him looking at her,sensed his anger and confusion 
4,1,"He can hear me _Havoc jerked his head up , blinking!",IREC,2,3_2,"He can hear me !_Havoc , quit it , Aaron thought , and Havoc jerked his head up , blinking  . ",He can hear me ,"Havoc jerked his head up , blinking!"
5,1,There was something about the way he walked_feeling confused,IREC,2,2_1,"There was something about the way he walked … the way his dark hair glimmered under the light of the setting sun  . _I tilted my head , leaning against the bar , feeling confused  . ",There was something about the way he walked,feeling confused
6,1,Aspen was my first love_the feelings I ’d been trying to let go of flooded,IREC,3,1_2,"He was n’t technically my boyfriend anymore — he ’d broken up with me before my name was even drawn for the Selection — but when he showed up at the palace as one of the guards , all the feelings I ’d been trying to let go of flooded my heart  . _Aspen was my first love ; when I looked at him … I was his  . ",Aspen was my first love,the feelings I ’d been trying to let go of flooded
7,1,when I looked at him … I was his_Aspen was my first love,IRAC,2,2,Aspen was my first love ; when I looked at him … I was his  . ,when I looked at him … I was his,Aspen was my first love
8,1,I ca n’t do magic anymore _Our fingers do n’t glow here,IREC,3,1_2,"“ I told you I ca n’t do magic anymore , ” Agatha snapped , closing the door behind them  . _“ Our fingers do n’t glow here  .  ”",I ca n’t do magic anymore ,Our fingers do n’t glow here
9,1,I want a camera_I bought him a camera,IREC,3,1_3,"You see I have this one finger that works , a shutter finger , and so I want a camera , he said to me  . _I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away  . ",I want a camera,I bought him a camera
10,1,I want to start taking pictures he said _ so I bought him a camera ,IRAC,2,2,"You see I have this one finger that works , a shutter finger , and so I want a camera , he said to me  . _I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away  . ",I want to start taking pictures he said , so I bought him a camera 
